,feat_masks,feat_masks_std
Heavy Neighb.,0.23628968000411987,0.027517661452293396
H Neighb.,0.8342766761779785,0.022482654079794884
Explicit Valence,0.5184043049812317,0.06775977462530136
Aromaticity,0.8852335810661316,0.012019149027764797
In Ring,0.8637703061103821,0.014899454079568386
C;4;3;0;0;0,0.7545693516731262,0.052712757140398026
C;4;3;1;0;0,0.7768474817276001,0.02640649303793907
C;4;1;3;0;0,0.7097901701927185,0.023954564705491066
N;3;2;1;0;0,0.8139140009880066,0.03798564895987511
O;2;1;0;0;0,0.8599134087562561,0.011602979153394699
C;4;2;2;0;0,0.830909252166748,0.04059863090515137
C;6;3;0;0;0,0.08434231579303741,0.007326866965740919
N;4;2;1;0;0,0.06237861141562462,0.009249735623598099
N;4;1;2;0;0,0.07482243329286575,0.007481520529836416
N;3;1;2;0;0,0.08236978203058243,0.004628715105354786
C;5;3;0;0;0,0.3810797929763794,0.0810152143239975
S;2;1;1;0;0,0.08269162476062775,0.0040721651166677475
C;4;2;1;1;1,0.8777117133140564,0.018764331936836243
C;4;3;0;1;1,0.24292778968811035,0.06667980551719666
N;3;2;0;1;1,0.08373061567544937,0.004279028158634901
N;3;2;1;1;1,0.08203033357858658,0.004829165060073137
N;4;1;3;0;0,0.7252399325370789,0.0613052174448967
S;2;2;0;0;0,0.0827484279870987,0.00543655501678586
C;4;3;1;0;1,0.0651988536119461,0.006279986351728439
C;4;2;2;0;1,0.28811097145080566,0.17663994431495667
N;3;3;0;0;1,0.0749838799238205,0.017983905971050262
O;2;1;1;0;0,0.08067306131124496,0.015506561845541
