,atoms,Heavy Neighb.,H Neighb.,Explicit Valence,Aromaticity,In Ring,C;4;3;0;0;0,C;4;3;1;0;0,C;4;1;3;0;0,N;3;2;1;0;0,O;2;1;0;0;0,C;4;2;2;0;0,C;6;3;0;0;0,N;4;2;1;0;0,N;4;1;2;0;0,N;3;1;2;0;0,C;5;3;0;0;0,S;2;1;1;0;0,C;4;2;1;1;1,C;4;3;0;1;1,N;3;2;0;1;1,N;3;2;1;1;1,N;4;1;3;0;0,S;2;2;0;0;0,C;4;3;1;0;1,C;4;2;2;0;1,N;3;3;0;0;1,O;2;1;1;0;0
0,C,0.023780674,0.026143664,0.03437925,0.004212293,0.020317899,0.028918013,0.023359917,0.03287275,0.025764983,0.02330783,0.03348693,0.005200127,0.0042690067,0.0043939715,0.004672635,0.004724811,0.004147814,0.045172952,0.0047511705,0.0050694384,0.0050833467,0.004470673,0.00454068,0.0048180907,0.0045884377,0.0044548544,0.0047211917
1,N,0.043516763,0.055173054,0.027612537,0.005056412,0.02872094,0.02867528,0.0047801533,0.06437185,0.096187815,0.058568258,0.043105163,0.005371614,0.004826611,0.0048497827,0.005056671,0.06195825,0.00480476,0.056996126,0.004795207,0.00446957,0.0043401634,0.004148369,0.004306305,0.0050305817,0.004579132,0.0050242627,0.0046467404
2,C,0.031954166,0.08207928,0.032917514,0.00471957,0.036250252,0.10247541,0.029264938,0.08828364,0.03057103,0.064291075,0.028876215,0.004774407,0.004438384,0.004627571,0.004344654,0.026092237,0.00447145,0.087011725,0.004922038,0.004494759,0.0052573914,0.0042313663,0.0048809224,0.0043882895,0.004792716,0.0042191213,0.004395629
3,C,0.16934153,0.005156576,0.067121685,0.15789162,0.113367856,0.03324059,0.09143643,0.031913288,0.068420395,0.038262993,0.09337499,0.0044647343,0.004929812,0.004364224,0.004504182,0.03817786,0.004226831,0.15028284,0.118372016,0.004963082,0.0045896596,0.091583975,0.004399418,0.0049728565,0.0046391007,0.0043310896,0.0045558214
4,N,0.01903379,0.0052490938,0.018508548,0.0046456894,0.0043189884,0.058672924,0.019094361,0.02894322,0.08125416,0.0048057446,0.025878526,0.0047192583,0.0046161045,0.0044564405,0.0050278935,0.0046328804,0.00425365,0.004296664,0.0045757564,0.004613371,0.004702555,0.0041435617,0.0045197867,0.0042752824,0.0048725237,0.0045594038,0.004508785
5,C,0.10883108,0.004731003,0.1092383,0.03258057,0.057247486,0.004584131,0.02376972,0.04111285,0.0051591913,0.02153012,0.08709588,0.004485557,0.0049831863,0.0044648065,0.0050172177,0.004455323,0.0041978126,0.0045144316,0.0048137014,0.00485862,0.004252098,0.0049269055,0.0042077187,0.005182033,0.004510743,0.0052234996,0.0050988374
6,O,0.080400266,0.06422647,0.1084482,0.21265344,0.1807384,0.12840474,0.123543136,0.119567975,0.14682622,0.16069996,0.12598217,0.005085102,0.004830429,0.004019221,0.00419645,0.0045653167,0.0046268054,0.0045816116,0.0042046527,0.004795944,0.0046703564,0.0046467157,0.0048932144,0.004605492,0.18026203,0.0046155388,0.0040932144
7,C,0.08917638,0.09341484,0.091249056,0.057263773,0.10319631,0.059141953,0.121630706,0.05889455,0.08614762,0.05820497,0.13151632,0.0042825337,0.0043099048,0.0048102834,0.004806562,0.0045386506,0.0047266907,0.004740311,0.00448727,0.004150561,0.0047918665,0.004524894,0.004180375,0.004719953,0.11029867,0.1845239,0.004498892
8,N,0.12748958,0.00536455,0.04184987,0.046593603,0.042153195,0.10896497,0.050135937,0.097730525,0.052308265,0.12326105,0.10265655,0.0051043495,0.004704633,0.0038796845,0.004346481,0.0041326815,0.0044935755,0.0048158346,0.0047498876,0.0040657446,0.0040790713,0.0045982227,0.00499353,0.0045833914,0.10133682,0.17364067,0.0045965808
9,C,0.07216201,0.0044934554,0.065584555,0.047366183,0.052870072,0.005124869,0.039260197,0.049269646,0.0047678817,0.06531777,0.11273929,0.0052484707,0.00494941,0.0051268237,0.0044231336,0.0046349303,0.004986457,0.0043320456,0.0043410533,0.0048322417,0.00442486,0.004907884,0.00421891,0.0046915575,0.1894662,0.0049300105,0.0050069713
