Name,Sequence,No Sequence
GATNet,0.7775720251444787,0.774733339231547
GAT+GCN,0.7821885869365552,0.7451937519515126
GCNNet,0.7793031922303202,0.7509011629524629
GINConvNet,0.7848276549331791,0.7701251772644682
SGCNet,0.7688177444571025,0.729453994108301
SageNet,0.7839620691981535,0.7777846106521473
MLPNet+FCFP512,0.7798815587194019,0.7410228437164904
MLPNet+FCFP1024,0.8033743449586863,0.7548164612721617
MLPNet+ECFP512,0.8049901438607817,0.7496929688774538
MLPNet+ECFP1024,0.7977162136815681,0.742311987187011
